財務省　国際収支状況（対外・対内直接投資）,,,,,,,,,,,,,
Ⅱ.対内直接投資総括表,,,,,,,,,,,,,
   （データ期間：平成8年～）,,,,,,,,,,,,,
6d-1-1 暦年,,,,,,,,,,,,,
   （単位　億円）,,,,,,,,,,,,,
,,,,,,,,,,,,,
Japan's Balance of Payments(Direct Investment Assets/Liabilities),,,,,,,,,,,,,
Historical Data,,,,,,,,,,,,,
Ⅱ.Summary of Direct Investment Liabilities,,,,,,,,,,,,,
   Not seasonally adjusted,,,,,,,,,,,,,
  (1996C.Y.-present),,,,,,,,,,,,,
6d-1-1 Annual figures (calendar year),,,,,,,,,,,,,
  (100 million Yen) ,,,,,,,,,,,,,
,,,,,,,,,,,,,
（備考） ,① （P）は速報値を示す。また、合計は四捨五入により合わないことがある。,,,,,,,,,,,,
,② 平成25年以前の計数は、国際収支マニュアル第5版準拠統計を第6版の基準により組み替えたもの。,,,,,,,,,,,,
,③ 令和7年4月8日付で、令和4年1月から令和6年9月までの計数について一部改訂を行っている。,,,,,,,,,,,,
(NOTE) ,① （P）shows preliminary figures.Totals may not add due to rounding.,,,,,,,,,,,,
,"② Until 2013, figures based on BPM5 are rearranged in accordance with BPM6.",,,,,,,,,,,,
,"③ Certain figures from January 2022 up to September 2024 are revised as of April 8, 2025.",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,対内直接投資,,,,,,,,,,,
,,Direct Investment Liabilities,,,,,,,,,,,
,,,,,株式資本,,,収益の再投資,,,負債性資本,,
,,,,,Equity other than reinvestment of earnings,,,Reinvestment of earnings,,,Debt instruments,,
,,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット
,,Execution,Withdrawal,Net,Execution,Withdrawal,Net,Execution,Withdrawal,Net,Execution,Withdrawal,Net
平成8年,1996C.Y.,          --,          --,-31,          --,          --,-760,          --,          --,-163,          --,          --,892
平成9年,1997C.Y.,          --,          --,"3,045",          --,          --,"2,409",          --,          --,-627,          --,          --,"1,262"
平成10年,1998C.Y.,          --,          --,"3,169",          --,          --,"3,198",          --,          --,"-1,690",          --,          --,"1,661"
平成11年,1999C.Y.,          --,          --,"17,179",          --,          --,"13,283",          --,          --,"1,358",          --,          --,"2,537"
平成12年,2000C.Y.,          --,          --,"11,616",          --,          --,"8,387",          --,          --,"2,021",          --,          --,"1,208"
平成13年,2001C.Y.,          --,          --,"6,010",          --,          --,"4,465",          --,          --,"1,664",          --,          --,-118
平成14年,2002C.Y.,          --,          --,"14,666",          --,          --,"-7,196",          --,          --,"1,923",          --,          --,"19,939"
平成15年,2003C.Y.,          --,          --,"10,296",          --,          --,"8,769",          --,          --,"2,153",          --,          --,-627
平成16年,2004C.Y.,          --,          --,"8,207",          --,          --,"7,615",          --,          --,"1,811",          --,          --,"-1,219"
平成17年,2005C.Y.,          --,          --,"5,502",          --,          --,"3,761",          --,          --,"3,128",          --,          --,"-1,388"
平成18年,2006C.Y.,          --,          --,"-2,486",          --,          --,"-10,040",          --,          --,"5,208",          --,          --,"2,346"
平成19年,2007C.Y.,          --,          --,"25,947",          --,          --,"12,785",          --,          --,"3,015",          --,          --,"10,146"
平成20年,2008C.Y.,          --,          --,"25,303",          --,          --,"25,536",          --,          --,-989,          --,          --,757
平成21年,2009C.Y.,          --,          --,"11,478",          --,          --,"10,068",          --,          --,"-1,931",          --,          --,"3,340"
平成22年,2010C.Y.,          --,          --,"6,636",          --,          --,"6,815",          --,          --,"3,029",          --,          --,"-3,208"
平成23年,2011C.Y.,          --,          --,-693,          --,          --,"-2,782",          --,          --,861,          --,          --,"1,228"
平成24年,2012C.Y.,          --,          --,407,          --,          --,713,          --,          --,144,          --,          --,-450
平成25年,2013C.Y.,          --,          --,"10,501",          --,          --,"2,883",          --,          --,"7,278",          --,          --,340
平成26年,2014C.Y.,"331,233","310,487","20,745","42,028","32,419","9,609","13,665",          --,"13,665","275,539","278,068","-2,529"
平成27年,2015C.Y.,"177,541","171,269","6,272","20,288","21,172",-885,"13,415",          --,"13,415","143,838","150,097","-6,259"
平成28年,2016C.Y.,"346,393","301,478","44,915","21,227","15,995","5,232","18,461",          --,"18,461","306,705","285,483","21,222"
平成29年,2017C.Y.,"425,907","404,763","21,144","23,931","20,559","3,372","13,378",          --,"13,378","388,597","384,204","4,394"
平成30年,2018C.Y.,"371,708","343,759","27,949","28,928","22,272","6,656","16,563",          --,"16,563","326,217","321,487","4,730"
令和元(平成31)年,2019C.Y.,"333,493","289,834","43,659","34,829","23,164","11,665","13,965",          --,"13,965","284,699","266,669","18,029"
令和2年,2020C.Y.,"434,440","367,425","67,015","23,237","18,236","5,001","11,177",          --,"11,177","400,026","349,189","50,837"
令和3年,2021C.Y.,"434,082","395,942","38,140","37,536","11,191","26,345","16,243",          --,"16,243","380,304","384,751","-4,447"
令和4年,2022C.Y.,"502,368","439,325","63,043","40,835","13,324","27,511","19,277",          --,"19,277","442,256","426,001","16,255"
令和5年,2023C.Y.,"530,016","500,866","29,150","35,574","23,918","11,656","18,944",          --,"18,944","475,498","476,948","-1,450"
令和6年,2024C.Y.,"705,855","679,387","26,468","41,146","35,529","5,616","19,281",          --,"19,281","645,429","643,858","1,571"
